timestamp,bid_price_1,bid_size_1,ask_price_1,ask_size_1,bid_price_2,bid_size_2,ask_price_2,ask_size_2,bid_price_3,bid_size_3,ask_price_3,ask_size_3,bid_price_4,bid_size_4,ask_price_4,ask_size_4,bid_price_5,bid_size_5,ask_price_5,ask_size_5
2024-01-02 00:00:00,99.9004,1335,99.9203,3777,99.8554,2502,99.9653,2306,99.7708,7412,100.0499,5064,99.6265,14404,100.1941,6918,99.4522,14798,100.3685,9879
2024-01-02 00:00:00,98.2683,4119,98.2751,3174,98.2006,5537,98.3427,2364,98.1147,6235,98.4286,8697,98.0553,14604,98.488,4929,97.9471,5985,98.5962,9478
2024-01-02 00:00:00,98.8184,3461,98.8257,3998,98.7973,6319,98.8467,2262,98.785,11397,98.859,8088,98.6232,13794,99.0209,6078,98.429,17705,99.2151,15027
2024-01-02 00:00:00,95.7043,3377,95.7332,2315,95.6441,3250,95.7934,7922,95.6012,11151,95.8363,8936,95.4252,14018,96.0124,7844,95.2914,9618,96.1461,10501
2024-01-02 00:00:00,98.4927,2569,98.5149,4109,98.4458,2338,98.5618,5875,98.3361,10565,98.6715,10891,98.3095,5857,98.6981,5423,98.1249,9304,98.8827,13039
2024-01-02 00:00:00,98.5973,3653,98.5986,3810,98.53,5958,98.6659,6904,98.4897,6903,98.7062,4009,98.3909,4963,98.805,10028,98.3195,16002,98.8764,15082
2024-01-02 00:00:00,98.4073,2281,98.4004,2028,98.3906,3761,98.4172,7289,98.3162,8419,98.4916,3582,98.2167,4896,98.5911,9634,98.1998,17928,98.608,18136
2024-01-02 00:00:00,96.3703,2046,96.3688,1525,96.3237,5534,96.4154,2675,96.3083,4884,96.4309,5799,96.1949,10141,96.5443,8872,96.076,10580,96.6632,12119
2024-01-02 00:01:00,100.1349,3014,100.1219,1795,100.1029,2374,100.1539,6456,99.9842,9599,100.2726,6139,99.8276,4353,100.4292,14707,99.6555,5199,100.6013,7538
2024-01-02 00:01:00,98.5629,1126,98.5752,4775,98.5465,7448,98.5916,5985,98.4594,10470,98.6786,6571,98.4016,7475,98.7364,6345,98.2409,9597,98.8972,6799
2024-01-02 00:01:00,99.2062,4536,99.2194,4253,99.1273,7581,99.2983,7004,99.0173,5799,99.4083,3420,98.8626,5116,99.563,12430,98.8041,19941,99.6214,19815
2024-01-02 00:01:00,95.9411,3626,95.9527,4093,95.9283,5050,95.9656,4826,95.909,10212,95.9849,8144,95.8322,9078,96.0616,11437,95.7619,18090,96.132,19384
2024-01-02 00:01:00,98.5386,1121,98.5645,1662,98.5037,3237,98.5994,3664,98.4523,10734,98.6508,9506,98.3811,6566,98.722,5754,98.2346,6155,98.8685,19682
2024-01-02 00:01:00,98.4843,4578,98.4852,2355,98.4197,3938,98.5498,3693,98.3053,9504,98.6642,5293,98.2108,11081,98.7587,13428,98.0516,9806,98.918,18506
2024-01-02 00:01:00,98.5053,2274,98.4957,1769,98.4673,5164,98.5337,2485,98.4291,5981,98.5718,3345,98.3264,8626,98.6746,12767,98.2444,10467,98.7566,6902
2024-01-02 00:01:00,95.619,4078,95.6294,1325,95.5618,6873,95.6866,3290,95.5464,5605,95.702,8891,95.3862,7399,95.8622,9951,95.2955,6936,95.9529,11580
2024-01-02 00:02:00,100.0584,4517,100.0782,4665,100.0455,2218,100.0911,4177,99.9702,6574,100.1664,10647,99.8365,13195,100.3001,13599,99.6125,9948,100.5241,15659
2024-01-02 00:02:00,97.8639,4627,97.8528,1551,97.8356,4212,97.8812,3281,97.7563,7969,97.9605,10650,97.686,7183,98.0308,4354,97.6453,15720,98.0715,5288
2024-01-02 00:02:00,99.4262,4712,99.4583,1485,99.3941,3735,99.4904,3792,99.3782,9520,99.5063,11151,99.2307,6030,99.6538,12267,99.194,15637,99.6905,7695
2024-01-02 00:02:00,96.2607,3105,96.2659,2684,96.2504,5082,96.2762,4810,96.2154,7008,96.3112,8567,96.0386,11206,96.488,10651,95.9836,7809,96.543,17164
2024-01-02 00:02:00,98.1036,1347,98.1141,1832,98.04,4752,98.1777,7468,97.9895,11774,98.2282,4533,97.834,6887,98.3837,12848,97.6374,7037,98.5803,11001
2024-01-02 00:02:00,97.891,1307,97.9085,4652,97.8759,4399,97.9236,4016,97.852,10377,97.9475,7946,97.7598,7982,98.0397,7832,97.6755,19119,98.124,11817
2024-01-02 00:02:00,97.7829,4975,97.8045,2691,97.72,5106,97.8673,4776,97.6759,11502,97.9115,7631,97.6584,14935,97.9289,4089,97.5134,6281,98.0739,15046
2024-01-02 00:02:00,96.0416,2410,96.0153,2609,95.9677,2955,96.0893,2521,95.8909,9769,96.166,9720,95.8548,4867,96.2022,8061,95.8074,10281,96.2496,13557
2024-01-02 00:03:00,99.6926,2847,99.708,1863,99.6362,3163,99.7644,2549,99.5383,8916,99.8623,5866,99.4363,8274,99.9643,13374,99.3798,15342,100.0208,10575
2024-01-02 00:03:00,98.5779,2749,98.6093,2990,98.5341,5051,98.653,6429,98.4486,8592,98.7386,10945,98.3854,9474,98.8018,8330,98.189,10807,98.9982,10143
2024-01-02 00:03:00,98.6317,2379,98.6555,3547,98.5614,5618,98.7258,2477,98.4476,10093,98.8396,7593,98.3563,11011,98.931,12481,98.3165,19924,98.9707,16640
2024-01-02 00:03:00,95.5813,3485,95.6153,2704,95.5105,2346,95.686,7182,95.4527,11760,95.7438,10171,95.346,4557,95.8506,14671,95.1767,7812,96.0199,9572
2024-01-02 00:03:00,98.4693,3852,98.4771,2920,98.4537,6195,98.4927,3157,98.4446,4151,98.5018,7868,98.3724,13941,98.574,7485,98.2247,10001,98.7217,5392
