TIMESTAMP,SYM,BID_PRICE_0,BID_SIZE_0,ASK_PRICE_0,ASK_SIZE_0,BID_PRICE_1,BID_SIZE_1,ASK_PRICE_1,ASK_SIZE_1,BID_PRICE_2,BID_SIZE_2,ASK_PRICE_2,ASK_SIZE_2,BID_PRICE_3,BID_SIZE_3,ASK_PRICE_3,ASK_SIZE_3,BID_PRICE_4,BID_SIZE_4,ASK_PRICE_4,ASK_SIZE_4,TOTAL_VOLUME,MARKET_HOUR
2024-01-02 00:00:00,OTR2Y,100.3237,4979,100.3363,1154,100.2912,2037,100.3689,3625,100.2176,11255,100.4424,8134,100.1196,14201,100.5405,12299,100.0855,14117,100.5746,16502,148802,False
2024-01-02 00:00:00,OTR5Y,98.0726,4809,98.092,2637,98.0192,2816,98.1454,5316,97.9662,9030,98.1984,3796,97.8588,8171,98.3058,9768,97.6994,14330,98.4652,15238,150209,False
2024-01-02 00:00:00,OTR10Y,97.5517,1940,97.5565,4780,97.5325,5484,97.5757,7047,97.504,3595,97.6042,5362,97.4526,10134,97.6556,13959,97.4006,14978,97.7076,9482,310644,False
2024-01-02 00:00:00,OTR30Y,95.1861,4486,95.2155,2272,95.1498,5539,95.2518,7762,95.06,6219,95.3416,8217,94.9405,13620,95.4611,4476,94.806,16409,95.5955,14605,156979,False
2024-01-02 00:00:00,OFR2Y,98.0812,3552,98.0788,3492,98.0715,6217,98.0886,2573,97.9596,9031,98.2004,6993,97.9408,9947,98.2193,4470,97.8192,7788,98.3409,10606,114796,False
2024-01-02 00:00:00,OFR5Y,98.6947,3376,98.7199,2011,98.635,6457,98.7796,6834,98.5825,5528,98.832,9830,98.403,14316,99.0116,5177,98.1742,9516,99.2403,6625,169369,False
2024-01-02 00:00:00,OFR10Y,96.7342,4057,96.7409,3123,96.7278,5321,96.7473,6884,96.7144,7557,96.7607,3597,96.6569,12172,96.8183,4870,96.4667,10935,97.0084,12057,247470,False
2024-01-02 00:00:00,OFR30Y,96.7034,3994,96.6985,4967,96.6782,6835,96.7237,5289,96.572,4670,96.83,8593,96.4371,6658,96.9648,13259,96.3007,15851,97.1012,19101,279388,False
2024-01-02 00:01:00,OTR2Y,99.2487,1060,99.2455,2934,99.1906,2798,99.3036,4193,99.0813,3498,99.4129,4036,99.0541,12940,99.4401,8356,98.8894,6701,99.6048,10347,171765,False
2024-01-02 00:01:00,OTR5Y,98.2965,1173,98.3152,1676,98.2199,7244,98.3917,2124,98.1876,11504,98.4241,9185,98.1322,14095,98.4795,13852,98.0925,17357,98.5192,8455,128950,False
2024-01-02 00:01:00,OTR10Y,97.3641,1454,97.3884,1496,97.3577,7409,97.3948,4742,97.2835,9871,97.4689,8293,97.2239,5978,97.5286,7022,97.2027,16639,97.5498,5909,156044,False
2024-01-02 00:01:00,OTR30Y,95.7464,3179,95.7634,2219,95.6937,6902,95.8161,6012,95.6121,7120,95.8977,11433,95.4809,5453,96.0289,9029,95.2927,13725,96.217,8435,226155,False
2024-01-02 00:01:00,OFR2Y,98.1511,2741,98.146,3658,98.0994,4705,98.1977,2053,98.0834,8016,98.2137,6286,98.0681,8905,98.229,12126,98.0287,18264,98.2684,11833,168097,False
2024-01-02 00:01:00,OFR5Y,98.5476,2553,98.561,4790,98.5084,5418,98.6002,5212,98.3918,3377,98.7168,4651,98.3777,9151,98.7309,8026,98.254,19786,98.8546,13997,93096,False
2024-01-02 00:01:00,OFR10Y,97.1464,3879,97.1549,4973,97.0843,6282,97.2171,5293,97.0462,10768,97.2552,11934,97.0213,6544,97.28,8491,96.8533,5844,97.4481,16218,109632,False
2024-01-02 00:01:00,OFR30Y,96.402,4413,96.406,3052,96.3672,7826,96.4408,7225,96.2586,9144,96.5494,11066,96.1376,8945,96.6704,9208,95.958,8060,96.85,17578,205258,False
2024-01-02 00:02:00,OTR2Y,100.4024,4226,100.4379,3150,100.3971,5937,100.4431,4479,100.2912,8350,100.549,6842,100.251,7287,100.5892,7663,100.0481,13147,100.7921,15544,161902,False
2024-01-02 00:02:00,OTR5Y,98.0886,1532,98.0777,2226,98.0832,7682,98.0831,5489,97.9998,8770,98.1665,6134,97.8201,12045,98.3462,8136,97.6229,11033,98.5433,15439,196574,False
2024-01-02 00:02:00,OTR10Y,97.1101,4993,97.0932,4376,97.0971,5127,97.1061,3661,96.9907,4938,97.2126,6670,96.8277,13722,97.3755,6672,96.5982,14668,97.605,8778,73989,False
2024-01-02 00:02:00,OTR30Y,95.2444,1450,95.2419,1041,95.1646,3891,95.3217,6282,95.1023,9812,95.384,7599,95.0515,13777,95.4348,7517,95.003,5311,95.4834,8831,177094,False
