TIMESTAMP,SYM,BID_PRICE_0,BID_SIZE_0,ASK_PRICE_0,ASK_SIZE_0,BID_PRICE_1,BID_SIZE_1,ASK_PRICE_1,ASK_SIZE_1,BID_PRICE_2,BID_SIZE_2,ASK_PRICE_2,ASK_SIZE_2,BID_PRICE_3,BID_SIZE_3,ASK_PRICE_3,ASK_SIZE_3,BID_PRICE_4,BID_SIZE_4,ASK_PRICE_4,ASK_SIZE_4,TOTAL_VOLUME,MARKET_HOUR
2024-01-02 00:00:00,OTR2Y,98.7153,3271,98.7214,2575,98.6462,5177,98.7905,6583,98.5361,9261,98.9007,3740,98.511,9420,98.9257,6657,98.2767,9784,99.1601,12088,91318,False
2024-01-02 00:00:00,OTR5Y,98.6951,4130,98.697,1780,98.6855,5444,98.7066,3613,98.6565,3130,98.7356,9730,98.6173,11447,98.7748,8493,98.5174,13615,98.8747,19313,58584,False
2024-01-02 00:00:00,OTR10Y,97.1737,4138,97.211,1631,97.1197,3012,97.265,4798,97.0238,5405,97.361,10706,96.9627,13832,97.4221,4844,96.9204,14477,97.4643,13982,170141,False
2024-01-02 00:00:00,OTR30Y,98.4095,2161,98.4051,2643,98.3813,3644,98.4333,3329,98.2692,9387,98.5453,7873,98.208,13202,98.6066,8184,98.004,16238,98.8106,14574,103637,False
2024-01-02 00:00:00,OFR2Y,98.495,4469,98.4893,3496,98.4756,5882,98.5086,4607,98.4118,5450,98.5725,6120,98.3275,11854,98.6568,14942,98.0802,10373,98.9041,12251,242063,False
2024-01-02 00:00:00,OFR5Y,99.7979,1103,99.7963,2361,99.743,2871,99.8511,5545,99.6509,3279,99.9433,10824,99.5609,4192,100.0333,11325,99.4655,13991,100.1287,11559,54961,False
2024-01-02 00:00:00,OFR10Y,98.2839,1971,98.2888,1294,98.277,2568,98.2956,5009,98.2543,9834,98.3184,8116,98.1534,6986,98.4192,5718,98.0522,18979,98.5204,7656,148072,False
2024-01-02 00:00:00,OFR30Y,95.6373,2821,95.6765,2890,95.5846,2161,95.7292,2456,95.5239,3743,95.7899,9816,95.4168,13385,95.897,6880,95.3656,13063,95.9482,11455,65539,False
2024-01-02 00:01:00,OTR2Y,98.8893,1841,98.879,4132,98.8175,2037,98.9508,6480,98.7539,4215,99.0144,8143,98.7074,11373,99.0609,5964,98.65,19367,99.1183,8968,201539,False
2024-01-02 00:01:00,OTR5Y,98.587,2795,98.5686,1527,98.5081,7395,98.6475,4247,98.4678,7220,98.6877,7660,98.4109,6236,98.7446,11703,98.3608,16254,98.7948,5630,294771,False
2024-01-02 00:01:00,OTR10Y,97.0305,4883,97.0238,4553,96.9979,3628,97.0564,5301,96.9504,10968,97.1039,8301,96.8331,7876,97.2212,9208,96.7067,5802,97.3476,8579,167036,False
2024-01-02 00:01:00,OTR30Y,98.5,4993,98.4894,3553,98.4333,3923,98.5562,7290,98.3375,3851,98.6519,4074,98.1621,14784,98.8273,11097,98.1313,17120,98.8581,11461,244639,False
2024-01-02 00:01:00,OFR2Y,97.9246,4890,97.9618,1218,97.8743,7746,98.0121,5988,97.8524,5185,98.0341,9650,97.8306,10830,98.0558,7246,97.6944,8683,98.192,17708,285990,False
2024-01-02 00:01:00,OFR5Y,99.4589,1577,99.4848,3231,99.3955,5844,99.5482,5142,99.3759,6034,99.5678,3488,99.2072,14971,99.7365,13337,99.0909,14646,99.8528,10790,129781,False
2024-01-02 00:01:00,OFR10Y,98.0608,2932,98.0694,2947,98.0114,2315,98.1188,5998,97.9626,4335,98.1677,11220,97.8196,5249,98.3107,13106,97.7861,15951,98.3441,15186,295751,False
2024-01-02 00:01:00,OFR30Y,95.3308,2465,95.3693,2359,95.3088,3253,95.3913,2193,95.2187,4985,95.4814,9014,95.0687,10198,95.6314,7727,94.8528,10031,95.8473,13789,69591,False
2024-01-02 00:02:00,OTR2Y,97.9305,2296,97.9245,1646,97.8967,6683,97.9583,4450,97.8206,11373,98.0344,3285,97.7243,7925,98.1307,10405,97.6519,7758,98.203,10736,114475,False
2024-01-02 00:02:00,OTR5Y,98.4026,1625,98.4396,2952,98.3686,7305,98.4735,6034,98.341,7943,98.5011,4365,98.2486,11677,98.5936,10510,98.0058,6568,98.8364,15071,43988,False
2024-01-02 00:02:00,OTR10Y,96.3518,3368,96.3995,1770,96.3358,5107,96.4154,4290,96.3064,4089,96.4448,5244,96.2816,11795,96.4696,7763,96.0636,8655,96.6876,17223,255086,False
